,name,pha_prediction
209,Asteroid 286476,0
210,Asteroid 502211,0
211,Asteroid 297177,0
212,Asteroid 457002,0
213,Asteroid 405365,0
214,Asteroid 63994,0
215,Asteroid 804174,0
216,Asteroid 243607,0
217,Asteroid 536122,0
218,Asteroid 605635,0
219,Asteroid 239344,0
220,Asteroid 835579,0
221,Asteroid 221215,0
222,Asteroid 185159,0
223,Asteroid 248430,0
224,Asteroid 318926,0
225,Asteroid 471951,0
226,Asteroid 360463,0
227,Asteroid 393741,0
228,Asteroid 67435,0
229,Asteroid 518365,0
230,Asteroid 117219,0
231,Asteroid 543973,0
232,Asteroid 131599,0
233,Asteroid 27125,0
234,Asteroid 587220,0
235,Asteroid 377352,0
236,Asteroid 38462,0
237,Asteroid 12785,0
238,Asteroid 426915,0
239,Asteroid 268117,0
240,Asteroid 651675,0
241,Asteroid 292551,0
242,Asteroid 28336,0
243,Asteroid 499999,0
244,Asteroid 43299,0
245,Asteroid 810848,0
246,Asteroid 84657,0
247,Asteroid 196903,0
248,Asteroid 169238,0
249,Asteroid 227605,0
250,Asteroid 418873,0
251,Asteroid 158364,0
252,Asteroid 643551,0
253,Asteroid 819024,0
254,Asteroid 224271,0
255,Asteroid 744598,0
256,Asteroid 486691,0
257,Asteroid 436867,0
258,Asteroid 663878,0
259,Asteroid 755137,0
260,Asteroid 541920,0
261,Asteroid 65757,0
262,Asteroid 634956,0
263,Asteroid 434894,0
264,Asteroid 90011,0
265,Asteroid 269468,0
266,Asteroid 615062,0
267,Asteroid 527847,0
268,Asteroid 189192,0
269,Asteroid 797304,0
270,Asteroid 448738,0
271,Asteroid 369712,0
272,Asteroid 762480,0
273,Asteroid 479546,0
274,Asteroid 329036,0
275,Asteroid 574917,0
276,Asteroid 826827,0
277,Asteroid 761319,0
278,Asteroid 647541,0
279,Asteroid 654869,0
280,Asteroid 34598,0
281,Asteroid 697296,0
282,Asteroid 355613,0
283,Asteroid 395283,0
284,Asteroid 219805,0
285,Asteroid 598170,0
286,Asteroid 709418,0
287,Asteroid 577656,0
288,Asteroid 245185,0
289,Asteroid 287689,0
290,Asteroid 21359,0
291,Asteroid 763616,0
292,Asteroid 573834,0
293,Asteroid 198538,0
294,Asteroid 639427,0
295,Asteroid 821654,0
296,Asteroid 528177,0
297,Asteroid 611497,0
298,Asteroid 767654,0
299,Asteroid 350344,0
300,Asteroid 19408,0
301,Asteroid 526623,0
302,Asteroid 465367,0
303,Asteroid 452695,0
304,Asteroid 87141,0
305,Asteroid 342005,0
306,Asteroid 393264,0
307,Asteroid 492569,0
308,Asteroid 533448,0
309,Asteroid 6585,0
310,Asteroid 671778,0
311,Asteroid 28846,0
312,Asteroid 480322,0
313,Asteroid 34124,0
314,Asteroid 318545,0
315,Asteroid 326533,0
316,Asteroid 38456,0
317,Asteroid 19689,0
318,Asteroid 406539,0
319,Asteroid 681146,0
320,Asteroid 513823,0
321,Asteroid 303111,0
322,Asteroid 498857,0
323,Asteroid 599472,0
324,Asteroid 588798,0
325,Asteroid 93244,0
326,Asteroid 25201,0
327,Asteroid 23975,0
328,Asteroid 136417,0
329,Asteroid 29763,0
330,Asteroid 463733,0
331,Asteroid 410680,0
332,Asteroid 116071,0
333,Asteroid 3227,0
334,Asteroid 746067,0
335,Asteroid 485634,0
336,Asteroid 263278,0
337,Asteroid 632499,0
338,Asteroid 555619,0
339,Asteroid 386314,0
340,Asteroid 9345,0
341,Asteroid 393478,0
342,Asteroid 509940,0
343,Asteroid 239895,0
344,Asteroid 349822,0
345,Asteroid 745569,0
346,Asteroid 743032,0
347,Asteroid 256751,0
348,Asteroid 44946,0
349,Asteroid 467428,0
350,Asteroid 117738,0
351,Asteroid 497970,0
352,Asteroid 23953,0
353,Asteroid 107344,0
354,Asteroid 523030,0
355,Asteroid 458670,0
356,Asteroid 329444,0
357,Asteroid 702135,0
358,Asteroid 468391,0
359,Asteroid 118714,0
360,Asteroid 254503,0
361,Asteroid 830188,0
362,Asteroid 795650,0
363,Asteroid 51948,0
364,Asteroid 346832,0
365,Asteroid 346451,0
366,Asteroid 188305,0
367,Asteroid 737677,0
368,Asteroid 679292,0
369,Asteroid 383224,0
370,Asteroid 665407,0
371,Asteroid 522642,0
372,Asteroid 24247,0
373,Asteroid 35413,0
374,Asteroid 610503,0
375,Asteroid 67024,0
376,Asteroid 173988,0
377,Asteroid 806127,0
378,Asteroid 429237,0
379,Asteroid 726984,0
380,Asteroid 680278,0
381,Asteroid 290637,0
382,Asteroid 655861,0
383,Asteroid 294637,0
384,Asteroid 674279,0
385,Asteroid 428256,0
386,Asteroid 55160,0
387,Asteroid 53342,0
388,Asteroid 604962,0
389,Asteroid 424272,0
390,Asteroid 474217,0
391,Asteroid 594941,0
392,Asteroid 356275,0
393,Asteroid 269400,0
394,Asteroid 68932,0
395,Asteroid 746460,0
396,Asteroid 756969,0
397,Asteroid 5311,0
398,Asteroid 699625,0
399,Asteroid 414465,0
400,Asteroid 642746,0
401,Asteroid 811882,0
402,Asteroid 515120,0
403,Asteroid 518228,0
404,Asteroid 763126,0
405,Asteroid 348913,0
406,Asteroid 766696,0
407,Asteroid 604452,0
408,Asteroid 500152,0
409,Asteroid 608036,0
410,Asteroid 433730,0
411,Asteroid 492122,0
412,Asteroid 576448,0
413,Asteroid 104001,0
414,Asteroid 196285,0
415,Asteroid 368864,0
416,Asteroid 357296,0
417,Asteroid 828169,0
418,Asteroid 626303,0
419,Asteroid 818815,0
420,Asteroid 352259,0
421,Asteroid 72665,0
422,Asteroid 385704,0
423,Asteroid 370107,0
424,Asteroid 136701,0
425,Asteroid 41489,0
426,Asteroid 690846,0
427,Asteroid 180632,0
428,Asteroid 76632,0
429,Asteroid 90601,0
430,Asteroid 325736,0
431,Asteroid 771481,0
432,Asteroid 79576,0
433,Asteroid 748245,0
434,Asteroid 275700,0
435,Asteroid 835231,0
436,Asteroid 152482,0
437,Asteroid 91689,0
438,Asteroid 362537,0
439,Asteroid 801164,0
440,Asteroid 269500,0
441,Asteroid 221428,0
442,Asteroid 288591,0
443,Asteroid 687411,0
444,Asteroid 715792,0
445,Asteroid 408596,0
446,Asteroid 345660,0
447,Asteroid 241601,0
448,Asteroid 578692,0
449,Asteroid 182785,0
450,Asteroid 230696,0
451,Asteroid 524964,0
452,Asteroid 792035,0
453,Asteroid 657143,0
454,Asteroid 788903,0
455,Asteroid 108465,0
456,Asteroid 552126,0
457,Asteroid 566893,0
458,Asteroid 343103,0
459,Asteroid 73114,0
460,Asteroid 813206,0
461,Asteroid 451433,0
462,Asteroid 387623,0
463,Asteroid 314212,0
464,Asteroid 787385,0
465,Asteroid 580348,0
466,Asteroid 83139,0
467,Asteroid 64058,0
468,Asteroid 247857,0
469,Asteroid 206009,0
470,Asteroid 198936,0
471,Asteroid 7354,0
472,Asteroid 751056,0
473,Asteroid 581319,0
474,Asteroid 489075,0
475,Asteroid 76756,0
476,Asteroid 456156,0
477,Asteroid 24789,0
478,Asteroid 833018,0
479,Asteroid 114054,0
480,Asteroid 564282,0
481,Asteroid 787095,0
482,Asteroid 574675,0
483,Asteroid 673032,0
484,Asteroid 443588,0
485,Asteroid 833607,0
486,Asteroid 105553,0
487,Asteroid 56009,0
488,Asteroid 98371,0
489,Asteroid 337726,0
490,Asteroid 305215,0
491,Asteroid 713396,0
492,Asteroid 197197,0
493,Asteroid 94261,0
494,Asteroid 193346,0
495,Asteroid 756248,0
496,Asteroid 325894,0
497,Asteroid 207816,0
498,Asteroid 469469,0
499,Asteroid 794277,0
500,Asteroid 190114,0
501,Asteroid 438740,0
502,Asteroid 431977,0
503,Asteroid 739614,0
504,Asteroid 770499,0
505,Asteroid 394963,0
506,Asteroid 631324,0
507,Asteroid 271982,0
508,Asteroid 802845,0
509,Asteroid 252335,0
510,Asteroid 6578,0
511,Asteroid 403902,0
512,Asteroid 73953,0
513,Asteroid 253214,0
514,Asteroid 729370,0
515,Asteroid 503831,0
516,Asteroid 592819,0
517,Asteroid 147279,0
518,Asteroid 654253,0
519,Asteroid 680767,0
520,Asteroid 748273,0
521,Asteroid 370489,0
522,Asteroid 241464,0
523,Asteroid 601225,0
524,Asteroid 264170,0
525,Asteroid 252076,0
526,Asteroid 28121,0
527,Asteroid 367868,0
528,Asteroid 555116,0
529,Asteroid 717417,0
530,Asteroid 455706,0
531,Asteroid 725739,0
532,Asteroid 27702,0
533,Asteroid 447231,0
534,Asteroid 700793,0
535,Asteroid 281084,0
536,Asteroid 785604,0
537,Asteroid 184813,0
538,Asteroid 447141,0
539,Asteroid 608284,0
540,Asteroid 149801,0
541,Asteroid 383110,0
542,Asteroid 169975,0
543,Asteroid 115776,0
544,Asteroid 537364,0
545,Asteroid 728835,0
546,Asteroid 620776,0
547,Asteroid 830737,0
548,Asteroid 794627,0
549,Asteroid 287074,0
550,Asteroid 310974,0
551,Asteroid 396315,0
552,Asteroid 234129,0
553,Asteroid 249893,0
554,Asteroid 832348,0
555,Asteroid 501258,0
556,Asteroid 825610,0
557,Asteroid 662330,0
558,Asteroid 561377,0
559,Asteroid 129134,0
560,Asteroid 696489,0
561,Asteroid 178525,0
562,Asteroid 621436,0
563,Asteroid 425350,0
564,Asteroid 15236,0
565,Asteroid 257528,0
566,Asteroid 825809,0
567,Asteroid 595648,0
568,Asteroid 206397,0
569,Asteroid 358651,0
570,Asteroid 493714,0
571,Asteroid 832171,0
572,Asteroid 481095,0
573,Asteroid 608451,0
574,Asteroid 802103,0
575,Asteroid 739112,0
576,Asteroid 418185,0
577,Asteroid 287393,0
578,Asteroid 285752,0
579,Asteroid 15951,0
580,Asteroid 253510,0
581,Asteroid 457101,0
582,Asteroid 362226,0
583,Asteroid 652520,0
584,Asteroid 268588,0
585,Asteroid 118238,0
586,Asteroid 836469,0
587,Asteroid 808816,0
588,Asteroid 387336,0
589,Asteroid 471242,0
590,Asteroid 461405,0
591,Asteroid 664790,0
592,Asteroid 825247,0
593,Asteroid 699244,0
594,Asteroid 595985,0
595,Asteroid 813839,0
596,Asteroid 444634,0
597,Asteroid 730763,0
598,Asteroid 615493,0
599,Asteroid 708145,0
600,Asteroid 742454,0
601,Asteroid 823308,0
602,Asteroid 168177,0
603,Asteroid 610152,0
604,Asteroid 665562,0
605,Asteroid 628518,0
606,Asteroid 692102,0
607,Asteroid 500595,0
608,Asteroid 388569,0
609,Asteroid 40853,0
610,Asteroid 806349,0
611,Asteroid 224251,0
612,Asteroid 789255,0
613,Asteroid 717218,0
614,Asteroid 475976,0
615,Asteroid 510786,0
616,Asteroid 593760,0
617,Asteroid 46550,0
618,Asteroid 743984,0
619,Asteroid 323722,0
620,Asteroid 426809,0
621,Asteroid 162236,0
622,Asteroid 292267,0
623,Asteroid 689597,0
624,Asteroid 567882,0
625,Asteroid 395673,0
626,Asteroid 812563,0
627,Asteroid 639874,0
628,Asteroid 726192,0
629,Asteroid 761232,0
630,Asteroid 332584,0
631,Asteroid 730054,0
632,Asteroid 701772,0
633,Asteroid 671751,0
634,Asteroid 344702,0
635,Asteroid 283312,0
636,Asteroid 175206,0
637,Asteroid 352720,0
638,Asteroid 132597,0
639,Asteroid 437862,0
640,Asteroid 760903,0
641,Asteroid 813142,0
642,Asteroid 243601,0
643,Asteroid 308700,0
644,Asteroid 748026,0
645,Asteroid 672213,0
646,Asteroid 815964,0
647,Asteroid 600649,0
648,Asteroid 512616,0
649,Asteroid 748465,0
650,Asteroid 176993,0
651,Asteroid 195256,0
652,Asteroid 814743,0
653,Asteroid 251211,0
654,Asteroid 620070,0
655,Asteroid 470433,0
656,Asteroid 625251,0
657,Asteroid 781045,0
658,Asteroid 808224,0
659,Asteroid 23206,0
660,Asteroid 691067,0
661,Asteroid 214036,0
662,Asteroid 59733,0
663,Asteroid 255794,0
664,Asteroid 646477,0
665,Asteroid 658132,0
666,Asteroid 452896,0
667,Asteroid 140530,0
668,Asteroid 563355,0
669,Asteroid 687249,0
670,Asteroid 353671,0
671,Asteroid 244298,0
672,Asteroid 418102,0
673,Asteroid 365205,0
674,Asteroid 832692,0
675,Asteroid 208237,0
676,Asteroid 582702,0
677,Asteroid 559052,0
678,Asteroid 576871,0
679,Asteroid 109196,0
680,Asteroid 131446,0
681,Asteroid 530419,0
682,Asteroid 275774,0
683,Asteroid 321418,0
684,Asteroid 801515,0
685,Asteroid 498915,0
686,Asteroid 696081,0
687,Asteroid 14194,0
688,Asteroid 27900,0
689,Asteroid 514883,0
690,Asteroid 166121,0
691,Asteroid 657701,0
692,Asteroid 149355,0
693,Asteroid 304804,0
694,Asteroid 62333,0
695,Asteroid 210062,0
696,Asteroid 754392,0
697,Asteroid 14370,0
698,Asteroid 164632,0
699,Asteroid 813308,0
700,Asteroid 35481,0
701,Asteroid 73823,0
702,Asteroid 279303,0
703,Asteroid 103958,0
704,Asteroid 310712,0
705,Asteroid 817754,0
706,Asteroid 275346,0
707,Asteroid 62115,0
708,Asteroid 321560,0
709,Asteroid 615345,0
710,Asteroid 350673,0
711,Asteroid 790643,0
712,Asteroid 252366,0
713,Asteroid 24773,0
714,Asteroid 143388,0
715,Asteroid 772178,0
716,Asteroid 129595,0
717,Asteroid 181849,0
718,Asteroid 477530,0
719,Asteroid 60007,0
720,Asteroid 681665,0
721,Asteroid 654100,0
722,Asteroid 131249,0
723,Asteroid 748382,0
724,Asteroid 168734,0
725,Asteroid 307021,0
726,Asteroid 787245,0
727,Asteroid 719352,0
728,Asteroid 392521,0
729,Asteroid 370546,0
730,Asteroid 772004,0
731,Asteroid 444832,0
732,Asteroid 262722,0
733,Asteroid 556267,0
734,Asteroid 141920,0
735,Asteroid 533064,0
736,Asteroid 629869,0
737,Asteroid 189583,0
738,Asteroid 12203,0
739,Asteroid 349059,0
740,Asteroid 537170,0
741,Asteroid 103071,0
742,Asteroid 326718,0
743,Asteroid 289436,0
744,Asteroid 486645,0
745,Asteroid 652632,0
746,Asteroid 517627,0
747,Asteroid 70189,0
748,Asteroid 624196,0
749,Asteroid 406601,0
750,Asteroid 809080,0
751,Asteroid 105721,0
752,Asteroid 371480,0
753,Asteroid 739630,0
754,Asteroid 555896,0
755,Asteroid 90353,0
756,Asteroid 551589,0
757,Asteroid 260316,0
758,Asteroid 415785,0
759,Asteroid 587296,0
760,Asteroid 112063,0
761,Asteroid 36410,0
762,Asteroid 440591,0
763,Asteroid 505582,0
764,Asteroid 229798,0
765,Asteroid 56146,0
766,Asteroid 833360,0
767,Asteroid 527570,0
768,Asteroid 792759,0
769,Asteroid 317086,0
770,Asteroid 796017,0
771,Asteroid 668331,0
772,Asteroid 201832,0
773,Asteroid 364511,0
774,Asteroid 500343,0
775,Asteroid 369315,0
776,Asteroid 746104,0
777,Asteroid 208746,0
778,Asteroid 254291,0
779,Asteroid 526746,0
780,Asteroid 435490,0
781,Asteroid 386800,0
782,Asteroid 102792,0
783,Asteroid 55433,0
784,Asteroid 685824,0
785,Asteroid 95309,0
786,Asteroid 151670,0
787,Asteroid 821199,0
788,Asteroid 357626,0
789,Asteroid 681394,0
790,Asteroid 426795,0
791,Asteroid 789976,0
792,Asteroid 149058,0
793,Asteroid 436445,0
794,Asteroid 289486,0
795,Asteroid 545757,0
796,Asteroid 787135,0
797,Asteroid 476343,0
798,Asteroid 641876,0
799,Asteroid 477926,0
800,Asteroid 801010,0
801,Asteroid 1707,0
802,Asteroid 646946,0
803,Asteroid 625498,0
804,Asteroid 297532,0
805,Asteroid 400101,0
806,Asteroid 614948,0
807,Asteroid 479649,0
808,Asteroid 693062,0
809,Asteroid 602539,0
810,Asteroid 682715,0
811,Asteroid 252854,0
812,Asteroid 29595,0
813,Asteroid 600862,1
814,Asteroid 512378,0
815,Asteroid 796114,0
816,Asteroid 99892,0
817,Asteroid 62736,0
818,Asteroid 265903,0
819,Asteroid 370874,0
820,Asteroid 565998,0
821,Asteroid 635173,0
822,Asteroid 217059,0
823,Asteroid 299934,0
824,Asteroid 145359,0
825,Asteroid 200646,0
826,Asteroid 354428,0
827,Asteroid 837479,0
828,Asteroid 672495,0
829,Asteroid 636438,0
830,Asteroid 211768,0
831,Asteroid 147662,0
832,Asteroid 823368,0
833,Asteroid 546622,0
834,Asteroid 824319,0
835,Asteroid 192725,0
836,Asteroid 225602,0
837,Asteroid 16333,0
838,Asteroid 506117,0
839,Asteroid 128112,0
840,Asteroid 398227,0
841,Asteroid 695685,0
842,Asteroid 112715,0
843,Asteroid 553446,0
844,Asteroid 2736,0
845,Asteroid 264475,0
846,Asteroid 311788,0
847,Asteroid 318271,0
848,Asteroid 603716,0
849,Asteroid 219561,0
850,Asteroid 422093,0
851,Asteroid 393196,0
852,Asteroid 720976,0
853,Asteroid 440842,0
854,Asteroid 727560,0
855,Asteroid 109157,0
856,Asteroid 530063,0
857,Asteroid 136855,0
858,Asteroid 144158,0
859,Asteroid 18710,0
860,Asteroid 527906,0
861,Asteroid 721017,0
862,Asteroid 242307,0
863,Asteroid 352702,0
864,Asteroid 319232,0
865,Asteroid 433916,0
866,Asteroid 40238,0
867,Asteroid 288721,0
868,Asteroid 243546,0
869,Asteroid 446493,0
870,Asteroid 707916,0
871,Asteroid 486714,0
872,Asteroid 28657,0
873,Asteroid 576819,0
874,Asteroid 55022,0
875,Asteroid 385487,0
876,Asteroid 671779,0
877,Asteroid 197283,0
878,Asteroid 762253,0
879,Asteroid 151679,0
880,Asteroid 737275,0
881,Asteroid 537565,0
882,Asteroid 585370,0
883,Asteroid 571161,0
884,Asteroid 531663,0
885,Asteroid 290379,0
886,Asteroid 239961,0
887,Asteroid 401890,0
888,Asteroid 621353,0
889,Asteroid 360861,0
890,Asteroid 378525,0
891,Asteroid 89893,0
892,Asteroid 442551,0
893,Asteroid 42545,0
894,Asteroid 817520,0
895,Asteroid 773243,0
896,Asteroid 306779,0
897,Asteroid 168475,0
898,Asteroid 9633,0
899,Asteroid 469506,0
900,Asteroid 498366,0
901,Asteroid 39434,0
902,Asteroid 495045,0
903,Asteroid 638022,0
904,Asteroid 453695,0
905,Asteroid 511142,0
906,Asteroid 10902,0
907,Asteroid 702724,0
908,Asteroid 771082,0
909,Asteroid 443187,0
910,Asteroid 445736,0
911,Asteroid 35154,0
912,Asteroid 284679,0
913,Asteroid 663081,0
914,Asteroid 543893,0
915,Asteroid 270680,0
916,Asteroid 10134,0
917,Asteroid 574818,0
918,Asteroid 464472,0
919,Asteroid 435073,0
920,Asteroid 814554,0
921,Asteroid 19140,0
922,Asteroid 209473,0
923,Asteroid 533220,0
924,Asteroid 713745,0
925,Asteroid 777194,0
926,Asteroid 650413,0
927,Asteroid 509544,0
928,Asteroid 106870,0
929,Asteroid 144047,0
930,Asteroid 832013,0
931,Asteroid 710138,0
932,Asteroid 80238,0
933,Asteroid 828571,0
934,Asteroid 148380,0
935,Asteroid 764272,0
936,Asteroid 382301,0
937,Asteroid 608317,0
938,Asteroid 669461,0
939,Asteroid 114950,0
940,Asteroid 468608,0
941,Asteroid 477254,0
942,Asteroid 525184,0
943,Asteroid 426334,0
944,Asteroid 796779,0
945,Asteroid 234816,0
946,Asteroid 174787,0
947,Asteroid 112283,0
948,Asteroid 752058,0
949,Asteroid 517010,0
950,Asteroid 823882,0
951,Asteroid 367471,0
952,Asteroid 649812,0
953,Asteroid 156416,0
954,Asteroid 773642,0
955,Asteroid 104530,0
956,Asteroid 442355,0
957,Asteroid 517886,0
958,Asteroid 361651,0
959,Asteroid 704255,0
960,Asteroid 537675,0
961,Asteroid 275430,0
962,Asteroid 312852,0
963,Asteroid 457028,0
964,Asteroid 210184,0
965,Asteroid 684322,0
966,Asteroid 178163,0
967,Asteroid 401015,0
968,Asteroid 405911,0
969,Asteroid 410315,0
970,Asteroid 558135,0
971,Asteroid 562739,0
972,Asteroid 504420,0
973,Asteroid 33693,0
974,Asteroid 598904,0
975,Asteroid 389296,0
976,Asteroid 71940,0
977,Asteroid 625711,0
978,Asteroid 682477,0
979,Asteroid 255298,0
980,Asteroid 679493,0
981,Asteroid 457759,0
982,Asteroid 332491,0
983,Asteroid 67293,0
984,Asteroid 451795,0
985,Asteroid 379876,0
986,Asteroid 567422,0
987,Asteroid 353353,0
988,Asteroid 226778,0
989,Asteroid 437052,0
990,Asteroid 323984,0
991,Asteroid 835404,0
992,Asteroid 283693,0
993,Asteroid 6161,0
994,Asteroid 399463,0
995,Asteroid 263988,0
996,Asteroid 159565,0
997,Asteroid 700425,0
998,Asteroid 622204,0
999,Asteroid 303798,0
1000,Asteroid 288404,0
1001,Asteroid 95548,0
1002,Asteroid 585640,0
1003,Asteroid 335165,0
1004,Asteroid 697029,0
1005,Asteroid 751043,0
1006,Asteroid 485006,0
1007,Asteroid 604191,0
1008,Asteroid 753539,0
1009,Asteroid 51715,0
1010,Asteroid 831667,0
1011,Asteroid 268153,0
1012,Asteroid 630424,0
1013,Asteroid 286412,0
1014,Asteroid 617396,0
1015,Asteroid 830915,0
1016,Asteroid 746111,0
1017,Asteroid 498707,0
1018,Asteroid 489137,0
1019,Asteroid 251862,0
1020,Asteroid 779213,0
1021,Asteroid 427316,0
1022,Asteroid 668377,0
1023,Asteroid 516592,0
1024,Asteroid 135132,0
1025,Asteroid 728498,0
1026,Asteroid 106564,0
1027,Asteroid 493943,0
1028,Asteroid 730672,0
1029,Asteroid 74840,0
1030,Asteroid 826091,0
1031,Asteroid 403229,0
1032,Asteroid 396485,0
1033,Asteroid 380492,0
1034,Asteroid 140792,0
1035,Asteroid 381182,0
1036,Asteroid 180356,0
1037,Asteroid 202570,0
1038,Asteroid 121427,0
1039,Asteroid 749699,0
1040,Asteroid 609220,0
1041,Asteroid 63254,0
1042,Asteroid 312679,0
1043,Asteroid 720945,0
1044,Asteroid 690682,0
1045,Asteroid 549158,0
1046,Asteroid 499602,0
1047,Asteroid 738502,0
1048,Asteroid 193427,0
1049,Asteroid 111876,0
1050,Asteroid 308724,0
1051,Asteroid 165719,0
1052,Asteroid 437014,0
1053,Asteroid 800953,0
1054,Asteroid 64389,0
1055,Asteroid 762814,0
1056,Asteroid 407700,0
1057,Asteroid 401645,0
1058,Asteroid 792063,0
1059,Asteroid 362582,0
1060,Asteroid 8561,0
1061,Asteroid 202807,0
1062,Asteroid 745980,0
1063,Asteroid 717738,0
1064,Asteroid 732050,0
1065,Asteroid 293098,0
1066,Asteroid 175761,0
1067,Asteroid 224712,0
1068,Asteroid 808510,0
1069,Asteroid 127327,0
